,sumber,Judul,bidang,kategori
0,skillacademy,Dasar-dasar Merancang Aplikasi yang Mudah Digunakan Pengguna (UX Design),teknologi,teknologi
1,skillacademy,Pemrograman Bahasa C# dan .NET Core,teknologi,teknologi
2,skillacademy,Pengenalan Kubernetes untuk Development,teknologi,teknologi
3,skillacademy,Data Management di Era Disrupsi Teknologi,teknologi,teknologi
4,skillacademy,UX Designer: Digital Product Development,teknologi,teknologi
5,skillacademy,"Pelajari Data dari Awal dengan menggunakan SQL, Data Studio, and RStudio",teknologi,teknologi
6,skillacademy,Dasar Statistik untuk Data Science,teknologi,teknologi
7,skillacademy,Kuasai Mobile Programming Android Hingga Mahir,teknologi,teknologi
8,skillacademy,Membuat Tipografi dalam Adobe Illustrator untuk Pemula,teknologi,teknologi
9,skillacademy,Pelajari Tools Wajib dalam Adobe Illustrator untuk Pemula,teknologi,teknologi
10,skillacademy,Pengenalan Artificial Intelligence untuk Bisnis,teknologi,teknologi
11,skillacademy,Tingkatkan Produktivitas dengan Microsoft Excel,teknologi,teknologi
12,skillacademy,Kuasai Teknik Produksi Audio Digital untuk Pemula,teknologi,teknologi
13,skillacademy,Penggunaan Warna dan Brush dalam Adobe Illustrator untuk Pemula,teknologi,teknologi
14,skillacademy,Belajar Desain Grafis dengan Mudah menggunakan Adobe Photoshop,teknologi,teknologi
15,skillacademy,Dapat Penghasilan dengan Mixing Lagu Ala Indomusikgram,teknologi,teknologi
16,skillacademy,Dasar Programming untuk Data Science,teknologi,teknologi
17,skillacademy,Kuasai Motion Graphic dengan Adobe After Effect untuk Pemula,teknologi,teknologi
18,skillacademy,Konfigurasi Cisco Router untuk CCNA,teknologi,teknologi
19,skillacademy,Pengenalan Jaringan untuk Cisco CCNA,teknologi,teknologi
20,skillacademy,Dasar-dasar Mobile Programming Android untuk Pemula,teknologi,teknologi
21,skillacademy,Google Data Studio dengan Data Analisis,teknologi,teknologi
22,skillacademy,Network Layer Addressing And Operation For Cisco CCNA,teknologi,teknologi
23,skillacademy,Penggunaan Agile dan Scrum untuk Development Project,teknologi,teknologi
24,skillacademy,Belajar Konsep HTML untuk Programming,teknologi,teknologi
25,skillacademy,Kelola Proyek dengan Microsoft Project dalam 2 Jam,teknologi,teknologi
26,skillacademy,Dasar Microsoft PowerPoint: Membuat PPT Bagi Pemula,self-help,pengembangan-diri
27,skillacademy,Rahasia Sukses Presentasi Penjualan Sampai Closing,self-help,pengembangan-diri
28,skillacademy,Webinar: Belajar Hukum Kontrak bagi Pemula,self-help,pengembangan-diri
29,skillacademy,Memperluas Networking untuk Profesional,self-help,pengembangan-diri
30,skillacademy,Teknik Menyelesaikan Konflik dengan Siapapun,self-help,pengembangan-diri
31,skillacademy,Siap Kerja di Kedai Kopi: Belajar Bikin Kopi Kekinian ala Barista (Peracik Kopi),self-help,pengembangan-diri
32,skillacademy,Personal Branding for Professional Purposes,self-help,pengembangan-diri
33,skillacademy,Webinar: Sukses berkarir: Ciptakan Mindset Professional dan Bukan Sekedar Pekerja,self-help,pengembangan-diri
34,skillacademy,Mudah Kuasai Dasar Bahasa Prancis untuk Pemula,self-help,pengembangan-diri
35,skillacademy,Berpikir Kritis: Cara Bedakan Hoaks dan Fakta,self-help,pengembangan-diri
36,skillacademy,Menjadi MC Kondang & Dapat Banyak Kerjaan oleh Ruben Donny,self-help,pengembangan-diri
