term,score
business,20.626234871327384
marketing,16.529059666724006
design,14.870615825200845
data,13.62769598478035
instagram,13.31426162930127
microsoft,12.784643419059476
presentasi,12.545600773037465
menulis,12.226824572433575
dress,11.843428063797951
excel,11.065356432081535
seo,10.08036028599178
teknik,9.559462075846685
fashion,9.372511207480631
pattern,9.252218770562962
biologi,8.828101508059136
writing,8.608328113673442
google,8.524449491639828
desain,8.311154519028339
chef,8.24999959374332
bakery,8.14154039317988
ipa,8.079443657651433
geografi,8.0
minim,7.838253922973257
paint,7.804392679180061
matematika,7.748885216413947
apply,7.564808943796131
english,7.534656588742088
manajemen,7.529079740759768
fisika,7.506747005998292
sosiologi,7.43837530747764
indonesia,7.390315283048761
muda,7.3459340243801785
html,7.248641604144461
centerpiece,7.198106453868583
iklan,7.194857551038557
video,7.117627004235819
cikal,7.003020962518214
sd,7.0
css,6.841044047598679
seorang,6.7939152556503295
academic,6.752795842723535
berjualan,6.708294532579588
penjualan,6.679676075883715
efektif,6.676935806747978
jualan,6.581405540489558
pengetahuan,6.518674766816411
kimia,6.51418081002792
draw,6.490274358379169
painting,6.459135077733454
agama,6.3861187356008
ekonomi,6.346880108865622
profesional,6.261932933348874
thinking,6.256820337905786
jacket,6.161387614304002
shirt,6.1425350742461315
penghasilan,6.135147332876816
draping,6.0901259065477875
sewing,6.0901259065477875
konten,6.051867186133821
custom,6.046926332465125
master,6.003885169206552
dalam,5.933670682262092
memulai,5.874755084107569
melalui,5.865526679078229
bouquet,5.847665670473743
sales,5.842727657947929
kamal,5.835641345716316
create,5.833801566916417
ips,5.795020735021797
kopi,5.78940917630586
analisa,5.764126083271772
interview,5.762755605765529
mudah,5.75894398444541
xi,5.709936619790634
morning,5.541648464945798
ads,5.522434102692007
wrapped,5.453186968686302
sekolah,5.437666171777424
illustration,5.42916992438677
bulan,5.3399596398883
keterampilan,5.287890588473117
sekolahmu,5.270220251280464
praktis,5.228543236162147
bersama,5.223769145466128
brush,5.214828637337445
afternoon,5.183585780995466
specialization,5.171032073242323
pengaturan,5.006014883460763
pending,4.96128183225856
draft,4.96128183225856
earing,4.949747468305834
handmade,4.949747468305834
ala,4.94361436409336
pengenalan,4.88423710894906
lettering,4.883607029251932
pen,4.883607029251932
payet,4.852728133873125
tabur,4.852728133873125
shibori,4.850435969205943
jadi,4.80491226735873
keuangan,4.74063255303067
try,4.6663381460097515
skb,4.6663381460097515
out,4.6663381460097515
pudding,4.663902273928093
canvas,4.662927249236301
kreatif,4.659698648775475
keju,4.639740649017276
technique,4.627203659404968
size,4.627203659404968
beading,4.627203659404968
ix,4.603036096129416
beginner,4.59643112916873
jepang,4.562599026029227
siap,4.5584865741907725
korean,4.4919864373445195
acrylic,4.462099877797764
sosial,4.436604954721615
programming,4.364836953342195
tk,4.327032340370586
laporan,4.315570890367315
tie,4.3018802035407635
bow,4.3018802035407635
vocabulary,4.242640687119286
practice,4.242640687119286
builder,4.242640687119286
pronunciation,4.242640687119286
brand,4.231926178659225
earn,4.2153992346185785
bsp,4.2153992346185785
funding,4.2153992346185785
makanan,4.197719822337645
paud,4.171815867562301
cropped,4.149586800207536
futuristic,4.149586800207536
science,4.10717146999229
modern,4.091571241233001
