id,category,category_name,type,name,avatar,badge,abstract,sale_status,rating,subject,program_tag,description,price_normal,price,status,pmo_id,tag,slug,linier,max_quota,current_quota,enrolled,creator
1543,2,KELASMU,1,Sekolah Cikal - TK B - Bahasa Inggris,,,"Do you want to learn more about English in a fun way by listening to stories, watching videos or playing online games? Join us please",,,"[{'id': 1338, 'subject_id': 91, 'subject_name': 'Bahasa Inggris'}]",[],"<p>Howdy Kiddos! :) How are you today? Welcome to our English program! In this program, you will have so much fun learning English using various resources such as storybooks or videos to help you to get more exposure with the English Language. You will also improve your skills in reading, writing, listening, and speaking as well as enhance your vocabularies in English. Have Fun!</p>",0.00,0.00,True,,"[{'id': 1750, 'tag': 'Murid', 'title': 'Murid'}]",TKB-bahasa-inggris-1,False,0,0,False,sekolah.mu
1540,2,KELASMU,1,Sekolah Cikal-Kelas 9-Pendidikan Agama Hindu,,,Menggali nilai-nilai ajaran Yajna yang terkandung dalam Kitab Ramayana,,,"[{'id': 1335, 'subject_id': 80, 'subject_name': 'Agama Hindu'}]",[],,0.00,0.00,True,,"[{'id': 1743, 'tag': 'Murid', 'title': 'Murid'}, {'id': 1744, 'tag': 'Orangtua', 'title': 'Orangtua'}]",sekolah-cikal-kelas-9-pendidikan-agama-hindu,False,0,0,False,
1537,2,KELASMU,1,Sekolah Cikal-Kelas 1-Pendidikan Agama Hindu,,,"Mengenal Sabda, Bayu dan Idep sebagai kemampuan dasar yang dimiliki oleh kepada manusia",,,"[{'id': 1332, 'subject_id': 80, 'subject_name': 'Agama Hindu'}]",[],,0.00,0.00,True,,"[{'id': 1737, 'tag': 'Murid', 'title': 'Murid'}, {'id': 1738, 'tag': 'Orangtua', 'title': 'Orangtua'}]",sekolah-cikal-kelas-1-pendidikan-agama-hindu,False,0,0,False,
1531,2,KELASMU,1,Sekolah Cikal-TKA-Pendidikan Agama Hindu,,,Melaksanakan rangkaian kegiatan Hari Raya Nyepi,,,"[{'id': 1324, 'subject_id': 80, 'subject_name': 'Agama Hindu'}]",[],,0.00,0.00,True,,"[{'id': 1730, 'tag': 'Murid', 'title': 'Murid'}]",sekolah-cikal-tka-pendidikan-agama-hindu,False,0,0,False,Sekolah Cikal
1515,2,KELASMU,1,Agama Kristen Protestan Kelas IX SMP - Dinas Pendidikan Jakarta,https://d33sow78tsfzyk.cloudfront.net/upload/a510cc62a7f14241bdf2e13ee2b18226.jpeg,,Dalam program ini kawan murid akan belajar mengenai Pendidikan Agama Kristen & Budi Pekerti secara daring yang seru dan menyenangkan.,,,"[{'id': 1287, 'subject_id': 83, 'subject_name': 'Agama Kristen Protestan'}]","[{'id': 4555, 'tag': 'kelas 9', 'title': 'kelas 9'}, {'id': 4556, 'tag': 'PAK&BP', 'title': 'PAK&BP'}, {'id': 4557, 'tag': 'Pendidikan Agama Kristen', 'title': 'Pendidikan Agama Kristen'}]",<p>Program ini adalah Pendidikan Agama Kristen &amp; Budi Pekerti untuk kelas IX SMP yang diberikan agar siswa dapat belajar secara daring dan juga mendukung kegiatan pembelajaran jarak jauh yang bermakna.</p>,0.00,0.00,True,,"[{'id': 1692, 'tag': 'Murid', 'title': 'Murid'}]",agama-kristen-protestan-kelas-ix-smp-dinas-pendidikan-jakarta,False,0,0,False,sekolah.mu
1514,2,KELASMU,1,Bahasa Indonesia Kelas X SMA - Dinas Pendidikan Jakarta,https://d33sow78tsfzyk.cloudfront.net/upload/1073bbdd8598491087dcfa90236f3ff2.jpg,,Dalam program ini kawan murid akan memahami dan mengaplikasikan pengetahuan dalam membuat puisi.,,,"[{'id': 1286, 'subject_id': 90, 'subject_name': 'Bahasa Indonesia'}]","[{'id': 4552, 'tag': 'sma', 'title': 'sma'}, {'id': 4553, 'tag': 'kelas 10', 'title': 'kelas 10'}, {'id': 4554, 'tag': 'kelas x', 'title': 'kelas x'}]",<p>Program ini adalah pendidikan Bahasa Indonesia yang diberikan agar siswa dapat belajar secara daring dan juga untuk mendukung kegiatan pembelajaran jarak jauh yang bermakna.</p>,0.00,0.00,True,,"[{'id': 1691, 'tag': 'Murid', 'title': 'Murid'}]",bahasa-indonesia-kelas-x-sma-dinas-pendidikan-jakarta,False,0,0,False,Dinas Pendidikan Jakarta
1503,2,KELASMU,1,Bahasa Indonesia  Kelas VIII SMP - Dinas Pendidikan Jakarta,https://d33sow78tsfzyk.cloudfront.net/upload/5f91a6ef881a4ee7b084d3e3d742b80e.jpg,,Hallo Kawan murid. Dalam progam ini kawan murid akan belajar materi Bahasa Indonesia secara online dengan seru dan menyenangkan.,,4.83,"[{'id': 1277, 'subject_id': 90, 'subject_name': 'Bahasa Indonesia'}]","[{'id': 4541, 'tag': 'bahasa indonesia', 'title': 'bahasa indonesia'}, {'id': 4542, 'tag': 'kelas 8', 'title': 'kelas 8'}]",<p>Mata pelajaran dari progam ini adalah Bahasa Indonesia untuk kelas 8 SMP yang diberikan agar kawan murid dapat belajar secara daring serta dapat mendukung pembelajaran jarak jauh yang bermakna.</p>,0.00,0.00,True,,"[{'id': 1678, 'tag': 'Murid', 'title': 'Murid'}]",bahasa-indonesia-kelas-viii-smp-dinas-pendidikan-jakarta,False,0,0,False,Dinas Pendidikan
1461,2,KELASMU,1,Penjas-kelas 7-smpn125,,,Dalam program ini kalian,,,"[{'id': 1253, 'subject_id': 114, 'subject_name': 'Pendidikan IPS'}]",[],<p>Program sejarah kelas 7 di smpn 125</p>,0.00,0.00,True,,"[{'id': 1654, 'tag': 'Murid', 'title': 'Murid'}]",penjas-kelas-7-smpn125,False,0,0,False,Smpn 125
1455,2,KELASMU,1,PJOK Kelas XI SMA-Dinas Pendidikan Jakarta,https://d33sow78tsfzyk.cloudfront.net/upload/ea5047b6325c4197a1384c86a500681f.jpeg,,"Dalam program ini, kawan murid akan belajar mengenai gerakan berirama atau biasa disebut dengan senam. Penasaran kan? Yuk ikuti programnya!",,5.00,"[{'id': 1245, 'subject_id': 112, 'subject_name': 'Pendidikan Jasmani, Olahraga dan Kesehatan (PJOK)'}]","[{'id': 4525, 'tag': 'PJOK', 'title': 'PJOK'}, {'id': 4526, 'tag': 'SMA', 'title': 'SMA'}, {'id': 4527, 'tag': 'Kelas 11', 'title': 'Kelas 11'}]","<p>Halo kawan murid! Salam Olahraga.. Menjadi bugar adalah bagian dari proses mencintai diri sendiri sebagai bentuk rasa syukur kita terhadap pemberian tuhan atas tubuh yang kita miliki saat ini. Salah satu upaya untuk menjadi bugar adalah dengan berolahraga, kawan. Pernahkah kamu melakukan senam? Yak! Gerakan yang dilakukan sambil mengikuti irama ini sangat asyik dilakukan bersama-sama lho apalagi menyehatkan. Mari kita pelajari bersama mengenai gerakan-gerakannya yuk!</p>",0.00,0.00,True,,"[{'id': 1647, 'tag': 'Murid', 'title': 'Murid'}]",pjok-kelas-xi-sma-dinas-pendidikan-jakarta,False,0,0,False,Dinas Pendidikan
1452,2,KELASMU,1,IPA Kelas 7 SMP - Dinas Pendidikan Jakarta,https://d33sow78tsfzyk.cloudfront.net/upload/0578dc13875843d8b15e165ca363dee5.jpeg,,Dalam program ini kawan murid akan belajar mengenai Ilmu Pengetahuan Alam secara daring/online yang seru dan menyenangkan.,,3.33,"[{'id': 1243, 'subject_id': 113, 'subject_name': 'Pendidikan IPA'}]","[{'id': 4518, 'tag': 'ipa', 'title': 'ipa'}, {'id': 4519, 'tag': 'kelas 7', 'title': 'kelas 7'}]",<p>Program ini adalah IPA untuk kelas 7 SMP yang diberikan untuk siswa agar dapat belajar secara daring untuk mendukung kegiatan pembelajaran jarak jauh yang bermakna</p>,0.00,0.00,True,,"[{'id': 1643, 'tag': 'Murid', 'title': 'Murid'}]",ipa-kelas-7-smp-dinas-pendidikan-jakarta,False,0,0,False,sekolah.mu
